iter	RMSE
0	14.29578044
1	14.24931642
2	14.20066296
3	14.15606857
4	14.11133836
5	14.06589144
6	14.02357981
7	13.97829358
8	13.93344773
9	13.89070663
10	13.85357441
11	13.81211814
12	13.77260806
13	13.73514273
14	13.68716132
15	13.646486
16	13.60375674
17	13.55965087
18	13.52052361
19	13.47901404
20	13.44209863
21	13.40406403
22	13.3714327
23	13.33803726
24	13.29725239
25	13.25775952
26	13.22649307
27	13.18494825
28	13.15298059
29	13.12117322
30	13.08507188
31	13.05222528
32	13.01656857
33	12.98127799
34	12.94979184
35	12.91816392
36	12.88380238
37	12.85135822
38	12.82309936
39	12.7886299
40	12.75437933
41	12.72176435
42	12.68981138
43	12.66052272
44	12.63082906
45	12.60045913
46	12.57122519
47	12.54375527
48	12.51293662
49	12.48439602
50	12.45633458
51	12.42658012
52	12.39683942
53	12.37180347
54	12.34507271
55	12.3161576
56	12.28838647
57	12.25948351
58	12.22948316
59	12.20811533
60	12.18221634
61	12.15677517
62	12.13371231
63	12.10845528
64	12.08106532
65	12.0542166
66	12.02816048
67	12.00328951
68	11.97783842
69	11.95266457
70	11.92985462
71	11.90529782
72	11.87905479
73	11.85732019
74	11.83427521
75	11.81445716
76	11.79137015
77	11.77005305
78	11.74866587
79	11.72466673
80	11.69974881
81	11.6791821
82	11.65490692
83	11.63113129
84	11.6071618
85	11.58551397
86	11.56455023
87	11.54206022
88	11.52032713
89	11.49866281
90	11.47935321
91	11.45669569
92	11.43597422
93	11.41739855
94	11.39719338
95	11.37578109
96	11.35679316
97	11.33538826
98	11.31546912
99	11.29389512
100	11.27483764
101	11.25674875
102	11.23907477
103	11.22010425
104	11.20064478
105	11.18255021
106	11.16396424
107	11.14507596
108	11.12579265
109	11.10699309
110	11.08771388
111	11.06975315
112	11.05103375
113	11.03419841
114	11.01349543
115	10.99746078
116	10.98323568
117	10.96912884
118	10.94996075
119	10.93070387
120	10.91346921
121	10.89637991
122	10.87875268
123	10.86334978
124	10.84509262
125	10.82830612
126	10.8103964
127	10.79342129
128	10.77720372
129	10.76205009
130	10.74624385
131	10.72765374
132	10.71194033
133	10.69509626
134	10.67918079
135	10.66481991
136	10.64843696
137	10.6338267
138	10.62186895
139	10.6087345
140	10.59230443
141	10.57700542
142	10.56223825
143	10.5466949
144	10.53262643
145	10.51945926
146	10.50428537
147	10.48911273
148	10.47254692
149	10.45582205
150	10.44186771
151	10.43148719
152	10.41953361
153	10.40605327
154	10.38853688
155	10.37356248
156	10.36246071
157	10.35040732
158	10.33619661
159	10.32328136
160	10.30921334
161	10.29443209
162	10.28117771
163	10.26795537
164	10.25204532
165	10.23549682
166	10.22350416
167	10.21073455
168	10.19660793
169	10.18281759
170	10.1699581
171	10.15857527
172	10.15078799
173	10.14047332
174	10.13010341
175	10.11824529
176	10.10294633
177	10.08929573
178	10.07573133
179	10.06116247
180	10.05228806
181	10.0388576
182	10.02577411
183	10.00889903
184	9.997528265
185	9.986106007
186	9.969846752
187	9.958612803
188	9.945267432
189	9.93171227
190	9.919914366
191	9.907881515
192	9.89592008
193	9.883809874
194	9.872801586
195	9.860156876
196	9.849579151
197	9.835876129
198	9.82758305
199	9.816636107
200	9.801453001
201	9.791886012
202	9.782239295
203	9.771413775
204	9.75894451
205	9.748049303
206	9.734232249
207	9.722725586
208	9.711133572
209	9.701061859
210	9.690080478
211	9.678947195
212	9.66733813
213	9.656274695
214	9.647124883
215	9.635491533
216	9.621979693
217	9.611139273
218	9.598516148
219	9.585787784
220	9.570661102
221	9.559681098
222	9.545442699
223	9.534858353
224	9.524439001
225	9.516177115
226	9.499850714
227	9.489026846
228	9.482483109
229	9.471617258
230	9.45954485
231	9.450808156
232	9.441487817
233	9.431442999
234	9.418694164
235	9.40726422
236	9.396448137
237	9.390558646
238	9.380746272
239	9.371920155
240	9.361497374
241	9.351945288
242	9.34159346
243	9.332169406
244	9.321667361
245	9.312628753
246	9.300512541
247	9.293916964
248	9.283867548
249	9.273338311
250	9.262253352
251	9.250808657
252	9.239981502
253	9.229770745
254	9.216760786
255	9.207540478
256	9.194825913
257	9.186506388
258	9.177020856
259	9.170486138
260	9.15771267
261	9.144284074
262	9.133247151
263	9.121779868
264	9.110734934
265	9.101348392
266	9.092019326
267	9.08418642
268	9.071789426
269	9.063938849
270	9.051487922
271	9.04168959
272	9.030422668
273	9.022102446
274	9.014525381
275	9.006620967
276	9.000194559
277	8.988055145
278	8.97912245
279	8.969913413
280	8.959350201
281	8.952703557
282	8.942563343
283	8.934746531
284	8.926908567
285	8.921068666
286	8.908581056
287	8.899385604
288	8.891498773
289	8.879031558
290	8.872193736
291	8.862197603
292	8.854175037
293	8.84740086
294	8.837947177
295	8.83078577
296	8.824259197
297	8.816593458
298	8.805562886
299	8.795452281
300	8.785940132
301	8.775631286
302	8.765457473
303	8.758498199
304	8.750753644
305	8.742289422
306	8.735464504
307	8.725911985
308	8.719308232
309	8.711533925
310	8.699306887
311	8.69057029
312	8.679888737
313	8.670605189
314	8.660488462
315	8.652261142
316	8.643240407
317	8.636084521
318	8.624584316
319	8.613531333
320	8.604124411
321	8.598996843
322	8.58930975
323	8.580404152
324	8.576156371
325	8.567004699
326	8.556780045
327	8.547900745
328	8.536703256
329	8.528052417
330	8.518050912
331	8.508528248
332	8.502210433
333	8.497132398
334	8.486072286
335	8.477231102
336	8.46799123
337	8.461067934
338	8.452283904
339	8.446691869
340	8.439533492
341	8.432148785
342	8.423372241
343	8.417846476
344	8.411816746
345	8.402608208
346	8.395102086
347	8.387138959
348	8.377230256
349	8.366906142
350	8.359603385
351	8.351584028
352	8.341771365
353	8.332392796
354	8.323840898
355	8.315308875
356	8.310120011
357	8.301872109
358	8.292430947
359	8.284963978
360	8.278488682
361	8.269592266
362	8.262227268
363	8.253233987
364	8.245332447
365	8.236222298
366	8.227462908
367	8.218830624
368	8.209590971
369	8.202656845
370	8.196112318
371	8.189474838
372	8.183180962
373	8.175766502
374	8.167674749
375	8.155162285
376	8.148103467
377	8.140448138
378	8.133755818
379	8.12517436
380	8.118134404
381	8.108398035
382	8.098836417
383	8.090915787
384	8.081371888
385	8.074122702
386	8.065835226
387	8.057632568
388	8.051228452
389	8.042676059
390	8.037136184
391	8.029990838
392	8.020024982
393	8.013845428
394	8.002993452
395	7.993274021
396	7.985632696
397	7.97898384
398	7.970961146
399	7.963500666
400	7.955168568
401	7.946291472
402	7.938480736
403	7.930972461
404	7.924668104
405	7.917648802
406	7.911249871
407	7.901945091
408	7.89255995
409	7.885272668
410	7.882145947
411	7.876169172
412	7.868196028
413	7.863351644
414	7.8572643
415	7.850373661
416	7.843412127
417	7.837046094
418	7.828404927
419	7.820166588
420	7.811482173
421	7.808231883
422	7.802295061
423	7.796527926
424	7.790894281
425	7.784052141
426	7.777464453
427	7.771554259
428	7.762243078
429	7.753566806
430	7.745374414
431	7.737126807
432	7.732221729
433	7.726639261
434	7.719564953
435	7.712328812
436	7.705162524
437	7.695932484
438	7.69122293
439	7.683197354
440	7.677755545
441	7.669999013
442	7.66043435
443	7.652211013
444	7.641257627
445	7.634694712
446	7.627013705
447	7.621871545
448	7.615280016
449	7.607180396
450	7.600373331
451	7.594328476
452	7.586141519
453	7.579704859
454	7.572818809
455	7.566645996
456	7.561985844
457	7.554272494
458	7.546729205
459	7.540869613
460	7.534655646
461	7.528911286
462	7.521831589
463	7.515350291
464	7.510421733
465	7.506444923
466	7.500142846
467	7.49308753
468	7.481935606
469	7.473782043
470	7.467309645
471	7.461713319
