iter	Passed	Remaining
0	18	142196
1	42	158185
2	65	164344
3	98	185222
4	118	177626
5	137	172353
6	160	171732
7	179	168262
8	198	165612
9	217	163158
10	240	164098
11	262	163758
12	283	163179
13	305	163690
14	328	163951
15	355	166299
16	384	169341
17	404	168182
18	424	167339
19	440	164956
20	457	163009
21	472	160882
22	488	158877
23	504	157122
24	519	155568
25	535	153949
26	550	152466
27	565	151153
28	581	149943
29	596	148699
30	612	147735
31	627	146623
32	642	145569
33	658	144791
34	674	144021
35	692	143605
36	709	143300
37	725	142645
38	726	139101
39	741	138363
40	756	137734
41	771	137174
42	787	136665
43	803	136252
44	819	135811
45	834	135319
46	849	134881
47	865	134501
48	880	134066
49	895	133604
50	910	133136
51	926	132775
52	942	132500
53	957	132155
54	973	131828
55	988	131499
56	1020	133338
57	1037	133223
58	1052	132875
59	1077	133689
60	1092	133389
61	1152	138423
62	1168	138039
63	1229	142964
64	1244	142520
65	1260	142076
66	1323	146964
67	1342	146831
68	1396	150506
69	1412	150037
70	1471	154070
71	1486	153493
72	1548	157633
73	1563	157008
74	1578	156352
75	1639	160323
76	1655	159700
77	1715	163336
78	1731	162804
79	1794	166593
80	1810	165919
81	1868	169166
82	1883	168426
83	1947	172074
84	1962	171320
85	1977	170630
86	2036	173674
87	2051	172948
88	2113	176115
89	2128	175391
90	2187	178228
91	2202	177516
92	2266	180623
93	2281	179880
94	2296	179139
95	2355	181825
96	2370	181073
97	2431	183820
98	2446	183047
99	2507	185719
100	2522	184974
101	2584	187624
102	2600	186879
103	2615	186152
104	2674	188492
105	2689	187725
106	2750	190225
107	2766	189517
108	2824	191702
109	2840	190968
110	2903	193404
111	2917	192629
112	2932	191869
113	2994	194187
114	3009	193438
115	3069	195537
116	3084	194801
117	3143	196787
118	3158	196050
119	3222	198339
120	3237	197587
121	3252	196838
122	3312	198834
123	3327	198092
124	3388	200075
125	3403	199341
126	3464	201276
127	3478	200530
128	3540	202494
129	3556	201783
130	3571	201070
131	3630	202828
132	3645	202089
133	3707	203975
134	3722	203266
135	3781	204930
136	3801	204453
137	3859	206083
138	3874	205367
139	3889	204662
140	3949	206299
141	3964	205591
142	4026	207305
143	4041	206612
144	4099	208136
145	4115	207443
146	4134	206997
147	4189	208310
148	4204	207614
149	4266	209213
150	4281	208537
151	4339	209951
152	4354	209262
153	4418	210923
154	4433	210257
155	4453	209836
156	4508	211054
157	4524	210404
158	4586	211909
159	4601	211248
160	4664	212785
161	4679	212129
162	4737	213422
163	4752	212754
164	4772	212339
165	4828	213507
166	4843	212871
167	4906	214290
168	4921	213650
169	4982	215024
170	4997	214377
171	5054	215536
172	5055	214294
173	5071	213685
174	5134	215099
175	5149	214482
176	5165	213878
177	5223	215042
178	5238	214424
179	5301	215757
180	5316	215150
181	5373	216255
182	5388	215640
183	5452	216987
184	5467	216380
185	5482	215769
186	5541	216893
187	5556	216297
188	5619	217556
189	5634	216971
190	5694	218090
191	5709	217496
192	5724	216898
193	5782	217961
194	5797	217365
195	5862	218650
196	5878	218086
197	5937	219156
198	5952	218583
199	6011	219600
200	6026	219038
201	6046	218649
202	6102	219521
203	6117	218968
204	6180	220101
205	6194	219526
206	6252	220476
207	6267	219911
208	6329	221002
209	6345	220449
210	6360	219898
211	6420	220914
212	6435	220352
213	6495	221326
214	6510	220766
215	6570	221749
216	6585	221194
217	6648	222277
218	6664	221748
219	6679	221201
220	6738	222137
221	6753	221603
222	6814	222572
223	6829	222034
224	6888	222916
225	6904	222419
226	6968	223437
227	6983	222904
228	6997	222373
229	7057	223253
230	7072	222733
231	7133	223668
232	7148	223142
233	7207	223974
234	7221	223441
235	7241	223068
236	7299	223879
237	7314	223374
238	7374	224235
239	7389	223723
240	7447	224493
241	7462	223993
242	7525	224932
243	7540	224432
244	7560	224067
245	7615	224753
246	7630	224255
247	7692	225120
248	7707	224627
249	7769	225499
250	7784	225005
251	7845	225832
252	7860	225345
253	7875	224855
254	7934	225628
255	7950	225162
256	8011	225975
257	8026	225494
258	8085	226243
259	8101	225770
260	8163	226612
261	8178	226132
262	8199	225801
263	8253	226404
264	8268	225931
265	8329	226721
266	8344	226239
267	8409	227113
268	8424	226651
269	8482	227334
270	8497	226868
271	8518	226541
272	8573	227138
273	8588	226695
274	8651	227485
275	8666	227030
276	8723	227656
277	8738	227204
278	8801	227990
279	8816	227534
280	8831	227078
281	8890	227752
282	8906	227312
283	8967	228041
284	8982	227600
285	9044	228329
286	9059	227871
287	9120	228578
288	9135	228133
289	9150	227691
290	9209	228348
291	9224	227905
292	9286	228604
293	9300	228153
294	9360	228797
295	9375	228358
296	9438	229108
297	9453	228662
298	9473	228353
299	9528	228871
300	9543	228439
301	9604	229114
302	9619	228678
303	9680	229340
304	9695	228914
305	9757	229599
306	9773	229180
307	9788	228754
308	9845	229322
309	9860	228896
310	9923	229590
311	9938	229163
312	9997	229753
313	10013	229352
314	10028	228931
315	10086	229509
316	10101	229095
317	10161	229695
318	10176	229279
319	10235	229849
320	10250	229434
321	10314	230125
322	10329	229718
323	10345	229320
324	10403	229879
325	10419	229476
326	10480	230080
327	10495	229675
328	10556	230290
329	10571	229888
330	10632	230486
331	10648	230090
332	10668	229795
333	10722	230246
334	10737	229851
335	10799	230460
336	10814	230063
337	10873	230598
338	10888	230205
339	10952	230834
340	10967	230440
341	10982	230053
342	11042	230604
343	11057	230212
344	11118	230781
345	11133	230397
346	11194	230958
347	11209	230572
348	11271	231137
349	11285	230749
350	11305	230460
351	11360	230892
352	11375	230509
353	11437	231077
354	11453	230705
355	11511	231191
356	11526	230816
357	11590	231413
358	11605	231037
359	11620	230666
360	11679	231158
361	11694	230782
362	11755	231325
363	11770	230955
364	11829	231433
365	11844	231066
366	11908	231649
367	11923	231278
368	11938	230906
369	11998	231408
370	12013	231039
371	12074	231563
372	12090	231211
373	12154	231775
374	12169	231414
375	12227	231869
376	12242	231510
377	12263	231254
378	12318	231653
379	12333	231294
380	12396	231829
381	12411	231468
382	12473	231972
383	12488	231621
384	12546	232066
385	12562	231720
386	12577	231370
387	12636	231824
388	12651	231472
389	12714	231998
390	12729	231646
391	12790	232114
392	12805	231760
393	12865	232230
394	12880	231878
395	12900	231619
396	12955	231999
397	12970	231648
398	13032	232135
399	13047	231791
400	13109	232277
401	13125	231951
402	13184	232380
403	13199	232036
404	13219	231773
405	13273	232125
406	13288	231781
407	13349	232245
408	13364	231904
409	13426	232381
410	13441	232044
411	13502	232496
412	13517	232158
413	13537	231908
414	13593	232268
415	13608	231926
416	13669	232375
417	13683	232036
418	13744	232478
419	13759	232145
420	13821	232606
421	13837	232286
422	13852	231956
423	13911	232353
424	13925	232023
425	13986	232456
426	14001	232125
427	14062	232553
428	14077	232225
429	14139	232684
430	14155	232368
431	14170	232042
432	14231	232462
433	14245	232136
434	14305	232539
435	14320	232217
436	14382	232646
437	14396	232322
438	14459	232766
439	14474	232444
440	14489	232132
441	14549	232534
442	14564	232215
443	14624	232611
444	14639	232295
445	14700	232705
446	14715	232392
447	14777	232810
448	14792	232493
449	14807	232181
450	14867	232577
451	14883	232267
452	14944	232675
453	14959	232363
454	15020	232762
455	15034	232446
456	15095	232848
457	15111	232538
458	15126	232229
459	15186	232615
460	15202	232319
461	15261	232688
462	15276	232385
463	15337	232772
464	15352	232465
465	15415	232881
466	15430	232576
467	15445	232281
468	15504	232633
469	15519	232329
470	15579	232697
471	15594	232397
472	15655	232784
473	15671	232490
474	15733	232892
475	15748	232591
476	15763	232289
477	15823	232645
478	15837	232345
479	15900	232741
480	15915	232439
481	15974	232786
482	15989	232491
483	16052	232898
484	16067	232602
485	16082	232307
486	16141	232646
487	16156	232350
488	16219	232737
489	16234	232457
490	16292	232767
491	16307	232477
492	16371	232891
493	16386	232601
494	16401	232311
495	16461	232648
496	16476	232361
497	16537	232724
498	16552	232435
499	16612	232770
500	16627	232482
501	16689	232858
502	16705	232576
503	16720	232289
504	16780	232633
505	16795	232349
506	16856	232697
507	16871	232411
508	16930	232729
509	16945	232445
510	17008	232832
511	17024	232552
512	17039	232272
513	17098	232589
514	17113	232310
515	17174	232653
516	17189	232373
517	17248	232687
518	17265	232429
519	17328	232795
520	17343	232516
521	17358	232238
522	17417	232555
523	17432	232280
524	17494	232622
525	17508	232342
526	17567	232644
527	17582	232367
528	17646	232745
529	17662	232473
530	17677	232199
531	17736	232501
532	17750	232227
533	17811	232547
534	17826	232271
535	17885	232582
536	17900	232307
537	17919	232092
538	17976	232366
539	17991	232095
540	18051	232400
541	18066	232128
542	18127	232454
543	18142	232184
544	18204	232511
545	18218	232240
546	18233	231974
547	18294	232290
548	18310	232034
549	18369	232328
550	18384	232061
551	18446	232386
552	18461	232119
553	18523	232450
554	18539	232189
555	18553	231923
556	18613	232216
557	18628	231955
558	18689	232269
559	18705	232009
560	18762	232279
561	18778	232019
562	18842	232363
563	18857	232104
564	18872	231843
565	18932	232135
566	18946	231871
567	19008	232188
568	19023	231928
569	19083	232214
570	19098	231955
571	19160	232270
572	19175	232016
573	19190	231761
574	19251	232051
575	19265	231793
576	19328	232104
577	19343	231857
578	19400	232098
579	19415	231843
580	19480	232186
581	19495	231936
582	19510	231684
583	19570	231967
584	19585	231713
585	19645	231992
586	19660	231737
587	19720	232022
588	19735	231765
589	19799	232084
590	19813	231831
591	19828	231582
592	19888	231849
593	19902	231597
594	19963	231881
595	19978	231633
596	20038	231898
597	20052	231648
598	20067	231399
599	20127	231661
600	20141	231411
601	20202	231692
602	20217	231443
603	20278	231725
604	20293	231478
605	20355	231771
606	20371	231535
607	20386	231291
608	20446	231561
609	20461	231316
610	20521	231575
611	20536	231332
612	20598	231619
613	20613	231383
614	20674	231657
615	20689	231415
616	20705	231177
617	20765	231442
618	20780	231201
619	20843	231501
620	20859	231263
621	20920	231541
622	20935	231301
623	20994	231547
624	21009	231308
625	21072	231596
626	21087	231361
627	21108	231181
628	21162	231377
629	21177	231140
630	21238	231401
631	21253	231168
632	21314	231426
633	21329	231192
634	21344	230957
635	21403	231199
636	21419	230976
637	21481	231248
638	21496	231009
639	21558	231281
640	21573	231048
641	21632	231281
642	21647	231048
643	21710	231334
644	21725	231101
645	21740	230867
646	21799	231105
647	21814	230873
648	21876	231133
649	21891	230901
650	21950	231136
651	21965	230906
652	21985	230729
653	22040	230921
654	22055	230691
655	22118	230967
656	22133	230735
657	22195	230992
658	22210	230765
659	22268	230990
660	22284	230766
661	22299	230540
662	22359	230779
663	22374	230550
664	22434	230787
665	22450	230573
666	22512	230832
667	22527	230603
668	22587	230841
669	22603	230618
670	22617	230393
671	22680	230649
672	22695	230427
673	22756	230673
674	22771	230450
675	22833	230700
676	22848	230474
677	22908	230711
678	22923	230487
679	22985	230738
680	23000	230516
681	23016	230298
682	23077	230534
683	23092	230313
684	23151	230534
685	23166	230313
686	23227	230545
687	23241	230321
688	23305	230582
689	23319	230359
690	23335	230143
691	23394	230362
692	23409	230144
693	23471	230387
694	23487	230174
695	23544	230369
696	23559	230151
697	23624	230419
698	23638	230200
699	23653	229982
700	23714	230214
701	23730	230001
702	23789	230213
703	23804	229996
704	23863	230206
705	23878	229986
706	23897	229818
707	23953	229993
708	23968	229781
709	24030	230014
710	24045	229798
711	24103	230000
712	24118	229787
713	24182	230034
714	24197	229822
715	24217	229659
716	24272	229825
717	24286	229609
718	24350	229859
719	24365	229648
720	24426	229865
721	24441	229653
722	24500	229861
723	24517	229662
724	24580	229899
725	24594	229686
726	24610	229479
727	24669	229686
728	24685	229479
729	24746	229699
730	24760	229488
731	24819	229683
732	24834	229476
733	24854	229314
734	24910	229479
735	24925	229272
736	24988	229509
737	25003	229303
738	25065	229525
739	25080	229321
740	25137	229497
741	25153	229294
742	25216	229532
743	25232	229327
744	25247	229121
745	25304	229299
746	25319	229093
747	25376	229274
748	25391	229067
749	25456	229307
750	25471	229105
751	25490	228939
752	25548	229118
753	25563	228920
754	25623	229120
755	25638	228917
756	25696	229094
757	25711	228892
758	25774	229119
759	25789	228917
760	25809	228760
761	25864	228908
762	25879	228705
763	25941	228921
764	25956	228722
765	26015	228906
766	26029	228704
767	26093	228925
768	26107	228725
769	26123	228528
770	26184	228728
771	26198	228528
772	26259	228728
773	26274	228527
774	26333	228708
775	26348	228512
776	26368	228355
777	26423	228507
778	26438	228309
779	26498	228498
780	26513	228298
781	26572	228486
782	26589	228303
783	26652	228520
784	26667	228324
785	26683	228130
786	26742	228310
787	26757	228115
788	26823	228359
789	26838	228162
790	26901	228372
791	26916	228176
792	26977	228371
793	26991	228174
794	27050	228348
795	27065	228151
796	27130	228376
797	27145	228183
798	27160	227989
799	27223	228199
800	27238	228005
801	27299	228202
802	27315	228011
803	27375	228197
804	27390	228004
805	27450	228189
806	27465	227997
807	27528	228199
808	27543	228006
809	27558	227818
810	27620	228013
811	27635	227824
812	27695	228006
813	27711	227819
814	27774	228020
815	27788	227828
816	27847	227994
817	27862	227802
818	27881	227650
819	27937	227788
820	27951	227599
821	28013	227786
822	28028	227596
823	28086	227761
824	28101	227572
825	28165	227780
826	28181	227594
827	28196	227408
828	28255	227581
829	28271	227396
830	28332	227579
831	28347	227395
832	28406	227558
833	28421	227371
834	28484	227566
835	28499	227383
836	28515	227200
837	28574	227366
838	28589	227183
839	28651	227369
840	28667	227195
841	28724	227340
842	28739	227156
843	28803	227357
844	28818	227173
845	28833	226990
846	28893	227154
847	28908	226971
848	28969	227150
849	28984	226969
850	29043	227129
851	29059	226950
852	29122	227143
853	29137	226960
854	29153	226780
855	29211	226938
856	29227	226757
857	29288	226934
858	29303	226751
859	29361	226905
860	29376	226724
861	29440	226919
862	29455	226739
863	29470	226555
864	29531	226723
865	29546	226544
866	29607	226718
867	29622	226539
868	29681	226692
869	29698	226526
870	29713	226344
871	29772	226505
872	29787	226323
873	29849	226501
874	29864	226320
875	29924	226483
876	29939	226307
877	29999	226463
878	30014	226283
879	30034	226142
880	30088	226265
881	30104	226087
882	30163	226242
883	30178	226064
884	30237	226214
885	30252	226038
886	30315	226223
887	30331	226048
888	30346	225871
889	30405	226028
890	30420	225851
891	30482	226021
892	30497	225847
893	30556	225995
894	30572	225823
895	30635	226002
896	30649	225825
897	30665	225651
898	30727	225822
899	30742	225649
900	30803	225810
901	30817	225631
902	30876	225776
903	30891	225605
904	30954	225778
905	30969	225606
906	30989	225468
907	31044	225586
908	31060	225419
909	31123	225590
910	31137	225417
911	31194	225545
912	31209	225374
913	31272	225548
914	31288	225380
915	31303	225207
916	31363	225356
917	31378	225187
918	31438	225340
919	31454	225169
920	31515	225330
921	31530	225159
922	31591	225313
923	31605	225140
924	31620	224969
925	31683	225136
926	31698	224966
927	31758	225118
928	31774	224954
929	31835	225106
930	31850	224936
931	31910	225085
932	31925	224914
933	31945	224783
934	32001	224897
935	32016	224728
936	32079	224899
937	32094	224729
938	32150	224850
939	32165	224679
940	32229	224851
941	32244	224683
942	32259	224516
943	32320	224665
944	32335	224499
945	32394	224641
946	32410	224475
947	32470	224619
948	32485	224452
949	32547	224613
950	32562	224445
951	32582	224313
952	32637	224420
953	32652	224257
954	32716	224427
955	32731	224260
956	32793	224412
957	32809	224255
958	32866	224377
959	32881	224211
960	32945	224380
961	32960	224216
962	32975	224051
963	33035	224192
964	33050	224026
965	33112	224180
966	33128	224017
967	33185	224142
968	33201	223978
969	33221	223848
970	33276	223959
971	33291	223794
972	33355	223955
973	33370	223793
974	33431	223938
975	33446	223776
976	33506	223916
977	33521	223753
978	33583	223904
979	33598	223741
980	33613	223578
981	33674	223722
982	33689	223559
983	33749	223696
984	33765	223535
985	33827	223686
986	33843	223530
987	33903	223667
988	33918	223507
989	33938	223378
990	33993	223480
991	34008	223319
992	34070	223465
