iter	RMSE
0	16.01839816
1	15.99993949
2	15.98152243
3	15.96355626
4	15.94523673
5	15.92675676
6	15.90859012
7	15.89070396
8	15.87254575
9	15.85435027
10	15.83675562
11	15.8192961
12	15.80171264
13	15.78412196
14	15.76687224
15	15.74961329
16	15.73226966
17	15.71482329
18	15.6974492
19	15.68042184
20	15.66349611
21	15.64629112
22	15.62956641
23	15.61297517
24	15.59655382
25	15.57966375
26	15.5632697
27	15.54671764
28	15.53162163
29	15.51537853
30	15.49908685
31	15.48330848
32	15.4677847
33	15.45141369
34	15.43531324
35	15.41947365
36	15.40403171
37	15.38793714
38	15.37218972
39	15.35727815
40	15.3419487
41	15.3264243
42	15.31051505
43	15.29563172
44	15.28047819
45	15.26519451
46	15.24998242
47	15.23477967
48	15.21955575
49	15.20445321
50	15.18965959
51	15.17478011
52	15.16016568
53	15.14525284
54	15.13016694
55	15.11535327
56	15.10040832
57	15.08592841
58	15.07119057
59	15.05700791
60	15.0423932
61	15.02784958
62	15.01354335
63	14.99944868
64	14.98588403
65	14.9723864
66	14.95829078
67	14.94499244
68	14.93123642
69	14.91728933
70	14.90365174
71	14.89005269
72	14.87705739
73	14.86333726
74	14.85036163
75	14.83710682
76	14.82364618
77	14.81025799
78	14.79678793
79	14.78407142
80	14.77134888
81	14.75809173
82	14.7450669
83	14.73235795
84	14.72062776
85	14.70791819
86	14.69541784
87	14.68274616
88	14.66979691
89	14.65716345
90	14.64439743
91	14.63195318
92	14.6201852
93	14.60754221
94	14.5952406
95	14.58306259
96	14.57096809
97	14.55876861
98	14.54727654
99	14.53538804
100	14.52325192
101	14.51130158
102	14.49959169
103	14.48790745
104	14.47668692
105	14.46532028
106	14.45423693
107	14.442772
108	14.43118994
109	14.41967244
110	14.4084161
111	14.39679049
112	14.38528199
113	14.37408378
114	14.36317398
115	14.35187505
116	14.34102105
117	14.33019381
118	14.31940908
119	14.30876895
120	14.29782187
121	14.2868504
122	14.27635501
123	14.26558909
124	14.25495945
125	14.24430124
126	14.23369198
127	14.22320079
128	14.21366993
129	14.20302301
130	14.19270434
131	14.18258457
132	14.17198521
133	14.16174049
134	14.15174056
135	14.14152251
136	14.13144513
137	14.12137659
138	14.11110647
139	14.10110553
140	14.09122347
141	14.08111498
142	14.07117403
143	14.06178605
144	14.05232572
145	14.04296486
146	14.03314922
147	14.02347477
148	14.01407853
149	14.00432288
150	13.99497989
151	13.98549749
152	13.97599907
153	13.96645054
154	13.95766023
155	13.94844043
156	13.939262
157	13.92999865
158	13.92092974
159	13.91291639
160	13.90415816
161	13.89544445
162	13.88640511
163	13.87762398
164	13.86861108
165	13.85993838
166	13.85189977
167	13.84342402
168	13.8346912
169	13.82586992
170	13.81755071
171	13.8091031
172	13.8005359
173	13.79248698
174	13.78401317
175	13.7755605
176	13.76730796
177	13.75869257
178	13.75034843
179	13.74251657
180	13.734339
181	13.72624622
182	13.71808699
183	13.7101511
184	13.70187878
185	13.69474594
186	13.68677407
187	13.6792654
188	13.67151248
189	13.66373757
190	13.65579605
191	13.64770037
192	13.63999129
193	13.63211988
194	13.62451398
195	13.61715386
196	13.60949859
197	13.60202191
198	13.59441813
199	13.5868336
200	13.57953091
201	13.57174751
202	13.56433483
203	13.55696348
204	13.54951641
205	13.54228257
206	13.53543367
207	13.52792036
208	13.52045829
209	13.51318926
210	13.50591574
211	13.49900706
212	13.49210623
213	13.48507863
214	13.47806102
215	13.47105788
216	13.4642121
217	13.45737706
218	13.45063606
219	13.44378392
220	13.43709387
221	13.43050167
222	13.4236294
223	13.41732522
224	13.41069314
225	13.40377042
226	13.39717167
227	13.39031416
228	13.38357375
229	13.37707258
230	13.37064016
231	13.36453759
232	13.35788333
233	13.35139128
234	13.34480237
235	13.33837456
236	13.33215282
237	13.32630793
238	13.31991609
239	13.31404055
240	13.30789497
241	13.30217467
242	13.29618101
243	13.29008053
244	13.28401431
245	13.27780921
246	13.27199341
247	13.26568265
248	13.25979732
249	13.25446933
250	13.24855227
251	13.24263824
252	13.23667143
253	13.230616
254	13.22493391
255	13.2193114
256	13.21339193
257	13.20768663
258	13.20213133
259	13.19636324
260	13.19045799
261	13.18527857
262	13.17977984
263	13.17405302
264	13.16855642
265	13.16317383
266	13.1575392
267	13.15205676
268	13.14631963
269	13.14113458
270	13.13572361
271	13.13072538
272	13.12520736
273	13.11972702
274	13.11446248
275	13.10937705
276	13.10416148
277	13.09876179
278	13.09340458
279	13.08871858
280	13.08351576
281	13.07846608
282	13.07369253
283	13.06907931
284	13.06400546
285	13.05911437
286	13.05416468
287	13.04903419
288	13.0438531
289	13.03901335
290	13.03423652
291	13.02916744
292	13.02462024
293	13.02016916
294	13.01547965
295	13.01045549
296	13.00578347
297	13.00137451
298	12.99707911
299	12.99220033
300	12.98758773
301	12.98271833
302	12.97803519
303	12.97344638
304	12.96867503
305	12.96396682
306	12.95921809
307	12.95452155
308	12.95000185
309	12.9456483
310	12.94088981
311	12.93621353
312	12.93172161
313	12.92722791
314	12.92282902
315	12.91870533
316	12.91447209
317	12.91023136
318	12.90579534
319	12.90179724
320	12.89774465
321	12.89345548
322	12.8892921
323	12.88485785
324	12.88065913
325	12.87667268
326	12.87284044
327	12.86875632
328	12.86449274
329	12.86035696
330	12.85620224
331	12.85198033
332	12.84802365
333	12.84378494
334	12.8399366
335	12.83575046
336	12.83153267
337	12.82739101
338	12.82377703
339	12.81970174
340	12.81544417
341	12.81132517
342	12.80773496
343	12.80425773
344	12.80044132
345	12.7965189
346	12.79265078
347	12.78875845
348	12.78474947
349	12.78078246
350	12.77689085
351	12.77321381
352	12.7693093
353	12.76556913
354	12.76169264
355	12.75793339
356	12.75425406
357	12.75099459
358	12.74707779
359	12.74336303
360	12.73974438
361	12.73634892
362	12.73291326
363	12.72939566
364	12.72580934
365	12.72229821
