iter	Passed	Remaining
0	4	40607
1	7	36408
2	11	38317
3	15	37849
4	18	37785
5	22	37882
6	26	37982
7	30	37841
8	33	37207
9	37	37387
10	41	37802
11	45	37758
12	52	40232
13	57	40757
14	61	40754
15	64	40040
16	67	39877
17	71	39599
18	75	39440
19	77	38916
20	81	38838
21	85	38871
22	89	38831
23	93	38888
24	99	39590
25	104	40197
26	108	40205
27	113	40255
28	116	39959
29	120	40006
30	124	39935
31	128	39893
32	132	39877
33	135	39826
34	138	39564
35	142	39464
36	146	39383
37	150	39415
38	154	39374
39	158	39411
40	162	39389
41	165	39348
42	171	39676
43	177	40124
44	182	40300
45	186	40309
46	190	40334
47	195	40438
48	200	40726
49	206	41188
50	213	41694
51	217	41601
52	221	41624
53	239	44198
54	244	44229
55	251	44575
56	255	44495
57	262	44930
58	266	44836
59	270	44731
60	274	44647
61	278	44592
62	287	45396
63	294	45655
64	299	45789
65	303	45724
66	307	45649
67	312	45590
68	316	45537
69	320	45434
70	325	45549
71	331	45644
72	337	45926
73	348	46733
74	352	46599
75	356	46526
76	360	46428
77	364	46324
78	368	46267
79	372	46171
80	376	46074
81	380	46000
82	387	46295
83	397	46912
84	401	46832
85	405	46751
86	409	46674
87	413	46596
88	417	46500
89	421	46423
90	425	46329
91	429	46220
92	432	46109
93	436	46015
94	440	45922
95	447	46141
96	450	46033
97	454	45951
98	459	45931
99	462	45796
100	466	45706
101	470	45634
102	474	45609
103	478	45540
104	482	45485
105	486	45429
106	490	45342
107	494	45252
108	497	45189
109	501	45125
110	505	45040
111	509	44993
112	513	44937
113	517	44889
114	523	45017
115	530	45239
116	535	45192
117	540	45294
118	546	45364
119	550	45320
120	556	45459
121	563	45602
122	568	45614
123	571	45549
124	575	45497
125	580	45512
126	584	45465
127	591	45656
128	598	45804
129	602	45746
130	606	45672
131	610	45617
132	614	45576
133	618	45541
134	622	45474
135	628	45568
136	637	45900
137	642	45937
138	649	46069
139	653	45996
140	657	45987
141	662	45959
142	667	46021
143	672	46018
144	676	45949
145	680	45936
146	685	45946
147	690	45950
148	698	46178
149	703	46197
150	714	46594
151	718	46545
152	725	46668
153	730	46728
154	734	46680
155	741	46783
156	748	46943
157	752	46884
158	756	46835
159	760	46776
160	764	46718
161	768	46644
162	771	46575
163	775	46506
164	779	46449
165	782	46379
166	786	46298
167	790	46241
168	794	46210
169	798	46187
170	802	46140
171	806	46078
172	811	46111
173	819	46251
174	826	46380
175	829	46326
176	834	46336
177	839	46298
178	842	46246
179	848	46306
180	852	46239
181	856	46179
182	859	46120
183	863	46059
184	867	46006
185	870	45950
186	874	45894
187	878	45833
188	881	45772
189	885	45715
190	889	45659
191	892	45599
192	896	45552
193	900	45505
194	904	45469
195	907	45417
196	913	45463
197	917	45424
198	921	45380
199	926	45405
200	930	45359
201	935	45397
202	942	45495
203	946	45469
204	950	45404
205	953	45342
206	957	45289
207	960	45236
208	964	45175
209	968	45128
210	972	45117
211	980	45259
212	984	45249
213	990	45278
214	993	45234
215	997	45183
216	1001	45139
217	1004	45083
218	1008	45042
219	1012	44998
220	1016	44957
221	1020	44939
222	1023	44892
223	1028	44876
224	1031	44829
225	1035	44774
226	1038	44728
227	1042	44674
228	1045	44624
229	1049	44579
230	1052	44522
231	1056	44499
232	1060	44470
233	1064	44432
234	1068	44382
235	1071	44327
236	1075	44287
237	1078	44256
238	1082	44206
239	1085	44161
240	1089	44110
241	1092	44063
242	1097	44059
243	1102	44091
244	1106	44042
245	1109	43998
246	1113	43966
247	1117	43943
248	1121	43913
249	1125	43878
250	1129	43853
251	1133	43831
252	1137	43809
253	1141	43787
254	1145	43781
255	1150	43782
256	1153	43741
257	1157	43695
258	1160	43648
259	1163	43602
260	1168	43597
261	1173	43604
262	1176	43565
263	1180	43521
264	1183	43478
265	1186	43434
266	1190	43392
267	1193	43347
268	1197	43303
269	1200	43258
270	1204	43225
271	1207	43187
272	1210	43146
273	1214	43107
274	1218	43077
275	1221	43048
276	1226	43053
277	1233	43146
278	1239	43169
279	1242	43129
280	1245	43094
281	1250	43102
282	1255	43102
283	1258	43060
284	1262	43024
285	1267	43034
286	1271	43033
287	1275	43008
288	1279	42993
289	1283	42980
290	1287	42957
291	1291	42940
292	1295	42922
293	1299	42897
294	1303	42878
295	1306	42841
296	1310	42814
297	1314	42800
298	1321	42864
299	1326	42894
300	1330	42870
301	1334	42849
302	1338	42828
303	1342	42805
304	1346	42802
305	1350	42777
306	1354	42751
307	1357	42729
308	1361	42714
309	1365	42693
310	1369	42675
311	1373	42653
312	1377	42632
313	1381	42613
314	1385	42595
315	1389	42584
316	1393	42569
317	1397	42545
318	1400	42511
319	1404	42484
320	1409	42491
321	1414	42513
322	1418	42495
323	1422	42488
