iter	Passed	Remaining
0	1	1050
1	2	1005
2	3	1058
3	5	1323
4	9	1953
5	11	1830
6	13	1851
7	15	1868
8	17	1877
9	19	1901
10	20	1867
11	22	1873
12	24	1840
13	25	1816
14	27	1827
15	29	1842
16	32	1856
17	34	1868
18	36	1876
19	37	1856
20	40	1865
21	41	1830
22	43	1836
23	45	1845
24	48	1908
25	52	1949
26	55	2004
27	57	1999
28	59	1996
29	61	1976
30	63	1977
31	65	1978
32	67	1979
33	68	1954
34	70	1950
35	71	1927
36	74	1926
37	76	1928
38	78	1924
39	80	1925
40	82	1936
41	84	1932
42	86	1931
43	88	1927
44	90	1925
45	93	1937
46	97	1970
47	99	1969
48	101	1961
49	101	1931
50	103	1925
51	105	1921
52	107	1921
53	109	1921
54	110	1899
55	112	1898
56	114	1897
57	115	1878
58	117	1877
59	119	1876
60	121	1867
61	123	1865
62	125	1865
63	127	1865
64	129	1864
65	131	1865
66	133	1864
67	136	1866
68	138	1865
69	140	1863
70	141	1853
71	143	1854
72	147	1868
73	149	1873
74	151	1872
75	152	1860
76	153	1845
77	156	1844
78	158	1843
79	160	1842
80	162	1842
81	164	1842
82	166	1841
83	168	1841
84	170	1839
85	172	1829
86	174	1828
87	176	1828
88	178	1827
89	180	1827
90	182	1825
91	186	1838
92	188	1842
93	192	1851
94	194	1850
95	196	1848
96	198	1846
97	200	1844
98	202	1842
99	204	1840
100	206	1838
101	209	1848
102	211	1845
103	213	1843
104	216	1841
105	218	1840
106	220	1839
107	222	1838
108	224	1836
109	226	1835
110	228	1833
111	231	1832
112	233	1830
113	235	1829
114	237	1826
115	239	1825
116	241	1824
117	243	1823
118	246	1821
119	247	1818
120	249	1815
121	252	1813
122	254	1815
123	257	1820
124	259	1818
125	261	1816
126	263	1813
127	266	1812
128	268	1811
129	270	1811
130	272	1809
131	274	1807
132	277	1806
133	279	1804
134	281	1802
135	282	1792
136	284	1790
137	286	1788
138	288	1785
139	290	1784
140	292	1781
141	294	1780
142	296	1778
143	298	1776
144	300	1774
145	303	1772
146	304	1769
147	306	1765
148	309	1765
149	311	1763
150	313	1762
151	315	1760
152	317	1758
153	319	1757
154	322	1756
155	325	1762
156	329	1771
157	331	1767
158	333	1765
159	335	1763
160	337	1760
161	339	1757
162	341	1754
163	343	1753
164	346	1754
165	348	1753
166	351	1750
167	353	1748
168	355	1746
169	357	1743
170	359	1742
171	361	1740
172	363	1737
173	365	1734
174	367	1730
175	369	1727
176	371	1728
177	373	1725
178	375	1723
179	377	1719
180	379	1718
181	381	1716
182	384	1717
183	387	1720
184	391	1723
185	394	1726
186	397	1727
187	399	1726
188	401	1722
189	403	1720
190	405	1718
191	407	1715
192	409	1713
193	411	1710
194	413	1708
195	415	1704
196	417	1701
197	419	1699
198	421	1697
199	423	1694
200	425	1692
201	427	1690
202	430	1688
203	433	1691
204	436	1694
205	440	1697
206	443	1699
207	445	1697
208	447	1695
209	449	1692
210	452	1690
211	454	1688
212	456	1686
213	458	1685
214	462	1688
215	464	1687
216	466	1684
217	468	1682
218	470	1679
219	473	1679
220	477	1683
221	480	1685
222	484	1688
223	486	1685
224	488	1683
225	490	1681
226	493	1678
227	495	1676
228	497	1674
229	499	1672
230	501	1669
231	503	1666
232	505	1664
233	507	1661
234	509	1659
235	511	1656
236	513	1654
237	515	1651
238	517	1649
239	519	1646
240	521	1643
241	523	1640
242	525	1637
243	527	1633
244	529	1631
245	531	1630
246	534	1628
247	536	1626
248	538	1623
249	540	1621
250	542	1619
251	544	1616
252	546	1614
253	548	1611
254	550	1609
255	553	1607
256	555	1604
257	557	1602
258	559	1600
259	561	1597
260	563	1595
261	565	1591
262	567	1589
